name,size
seaspan_hamburg,4250
seaspan_chiwan,4250
seaspan_ningbo,4250
seaspan_dalian,4250
seaspan_felixstowe,4250
seaspan_oceania,8500
cscl_africa,8500
seaspan_vancouver,4250
cscl_sydney,4250
cscl_new_york,4250
cscl_melbourne,4250
cscl_brisbane,4250
seaspan_new_delhi,4250
seaspan_dubai,4250
seaspan_jakarta,4250
seaspan_saigon,4250
seaspan_lahore,4250
seaspan_santos,4250
rio_grande_express,4250
seaspan_rio_de_janeiro,4250
seaspan_manila,4250
cscl_zeebrugge,9600
cscl_long_beach,9600
brevik_bridge,4500
brotonne_bridge,4500
cosco_fuzhou,3500
cosco_yingkou,3500
cscl_panama,2500
cscl_montevideo,2500
cscl_sao_paulo,2500
cscl_lima,2500
cscl_santiago,2500
cscl_san_jose,2500
cscl_callao,2500
cscl_manzanillo,2500
guayaquil_bridge,2500
calicanto_bridge,2500
seaspan_loncomilla,4250
seaspan_lumaco,4250
seaspan_lingue,4250
seaspan_lebu,4250
mol_emerald,5100
mol_eminence,5100
mol_emissary,5100
mol_empire,5100
cosco_japan,8500
cosco_korea,8500
cosco_philippines,8500
cosco_malaysia,8500
cosco_indonesia,8500
cosco_thailand,8500
cosco_prince_rupert,8500
cosco_vietnam,8500
seaspan_fraser,4250
bilbao_bridge,4500
berlin_bridge,4500
budapest_bridge,4500
cosco_glory,13000
cosco_fortune,13000
cosco_development,13000
cosco_harmony,13000
cosco_excellence,13000
cosco_faith,13000
cosco_hope,13000
cosco_pride,13000
seaspan_ganges,10000
seaspan_thames,10000
seaspan_yangtze,10000
seaspan_amazon,10000
seaspan_zambezi,10000
seaspan_hudson,10000
seaspan_elbe,10000
mol_bravo,10000
mol_brilliance,10000
mol_brightness,10000
mol_breeze,10000
ym_wish,14000
ym_world,14000
ym_wellhead,14000
ym_wondrous,14000
ym_winner,14000
mol_beacon,10000
mol_beauty,10000
mol_belief,10000
mol_bellwether,10000
maersk_guatemala,10000
maersk_guayaquil,10000
ym_witness,14000
ym_wholesome,14000
ym_wellness,14000
ym_worth,14000
ym_warmth,14000
ym_window,14000
ym_width,14000
ym_welcome,14000
ym_wind,14000
ym_wreath,14000
mol_benefactor,10000
mol_beyond,10000
maersk_genoa,10000
maersk_gibraltar,10000
cma_cgm_mundra,10000
cma_cgm_cochin,10000
cma_cgm_chennai,10000
cma_cgm_mumbai,10000
